p6020;dpto;a�o;pt_dpto;pet_dpto;pea_dpto;pei_dpto;empleados_dpto;desempleados_dpto;pt_gen_dpto;pet_gen_dpto;pea_gen_dpto;pei_gen_dpto;empleados_gen_dpto;desempleados_gen_dpto;nom_dep
mujer;20;2019;14830110;10999011;6374492.5;4845594.5;5570313;804179.31;7417781;5567064;2479979.5;3181290;2008714.3;471265.41;CESAR
hombre;20;2012;13004401;9320789;5533335.5;3934099;5043497;489838.59;6503067.5;4633216;3456887.5;1274435.1;3227091.3;229796.23;CESAR
hombre;20;2013;13093636;9519903;5449474.5;4284294;5027624.5;421849.94;6559863.5;4781211.5;3464762.3;1439028;3282836.5;181925.8;CESAR
hombre;20;2019;14830110;10999011;6374492.5;4845594.5;5570313;804179.31;7412328.5;5431947;3894513;1664304.8;3561599;332913.91;CESAR
mujer;20;2011;12758655;9193020;5338415;4057719;4829369;509045.91;6434662.5;4640004;1892744;2855453.5;1612133.8;280610.31;CESAR
hombre;20;2015;13957853;10110041;5755353.5;4625454.5;5268442.5;486910.75;6997716.5;5029159.5;3557373.3;1606713.3;3367235.8;190137.44;CESAR
mujer;20;2018;14503090;10860284;6120422;4957286;5465253;655169.38;7214253.5;5457279.5;2297083.8;3250253.3;1913942.5;383141.28;CESAR
hombre;20;2011;12758655;9193020;5338415;4057719;4829369;509045.91;6323992;4553016;3445671;1202265.6;3217235.5;228435.59;CESAR
mujer;20;2017;14255206;10575686;6406992.5;4373964.5;5708506.5;698486;7094614;5296277;2558831.5;2848870.8;2140253.3;418578.19;CESAR
mujer;20;2016;14123338;10397108;5947699;4662058;5297671;650028.44;6956199;5194843.5;2222888.8;3054489.8;1858239.8;364648.91;CESAR
hombre;20;2014;13484233;9947151;5627257;4574245.5;5118138;509119;6801625.5;5022924;3559703.8;1589692.5;3312665.3;247038.39;CESAR
mujer;20;2014;13484233;9947151;5627257;4574245.5;5118138;509119;6682608;4924226.5;2067553.5;2984553.3;1805472.9;262080.59;CESAR
mujer;20;2013;13093636;9519903;5449474.5;4284294;5027624.5;421849.94;6533772;4738691;1984712;2845265.8;1744787.9;239924.13;CESAR
mujer;20;2012;13004401;9320789;5533335.5;3934099;5043497;489838.59;6501334;4687573.5;2076448.1;2659664;1816405.8;260042.36;CESAR
mujer;20;2015;13957853;10110041;5755353.5;4625454.5;5268442.5;486910.75;6960136;5080882;2197980.3;3018741;1901206.9;296773.31;CESAR
hombre;20;2016;14123338;10397108;5947699;4662058;5297671;650028.44;7167139.5;5202264.5;3724810.5;1607568.1;3439431;285379.56;CESAR
hombre;20;2017;14255206;10575686;6406992.5;4373964.5;5708506.5;698486;7160592;5279409;3848161.3;1525093.8;3568253.5;279907.84;CESAR
mujer;23;2014;17576532;13416970;8227811.5;5486871.5;7631940;595871.44;8825532;6867783.5;3213937;3790496;2893754.5;320182.31;CORDOBA
mujer;23;2016;18210742;14061287;8612186;5770848.5;7710876.5;901309.31;9283605;7177088.5;3567316.3;3753422.3;3022288.3;545028.19;CORDOBA
